symbol,rsi_threshold,macd_threshold,disp_threshold,btc_dom_threshold,volume_ratio,stop_loss,take_profit,trades,win_rate,avg_return
AAVEUSDT,35,0.0,-0.5,65,1.2,0.04,0.08,24,41.66666666666667,0.3751914498915228
AAVEUSDT,35,0.5,-1.5,50,1.2,0.04,0.08,23,39.130434782608695,-0.003637824546511172
AAVEUSDT,35,0.5,-1.5,55,1.2,0.04,0.08,23,39.130434782608695,-0.003637824546511172
AAVEUSDT,35,0.5,-1.5,60,1.2,0.04,0.08,23,39.130434782608695,-0.003637824546511172
AAVEUSDT,35,0.5,-1.5,65,1.2,0.04,0.08,23,39.130434782608695,-0.003637824546511172
AAVEUSDT,35,0.5,-1.0,50,1.2,0.04,0.08,24,41.66666666666667,0.3751914498915228
AAVEUSDT,35,0.5,-1.0,55,1.2,0.04,0.08,24,41.66666666666667,0.3751914498915228
AAVEUSDT,35,0.5,-1.0,60,1.2,0.04,0.08,24,41.66666666666667,0.3751914498915228
AAVEUSDT,35,0.5,-1.0,65,1.2,0.04,0.08,24,41.66666666666667,0.3751914498915228
AAVEUSDT,35,0.5,-0.5,50,1.2,0.04,0.08,24,41.66666666666667,0.3751914498915228
AAVEUSDT,35,0.5,-0.5,55,1.2,0.04,0.08,24,41.66666666666667,0.3751914498915228
AAVEUSDT,35,0.5,-0.5,60,1.2,0.04,0.08,24,41.66666666666667,0.3751914498915228
AAVEUSDT,35,0.5,-0.5,65,1.2,0.04,0.08,24,41.66666666666667,0.3751914498915228
AAVEUSDT,40,0.0,-1.5,50,1.2,0.04,0.08,28,39.285714285714285,0.09761653996682429
AAVEUSDT,40,0.0,-1.5,55,1.2,0.04,0.08,28,39.285714285714285,0.09761653996682429
AAVEUSDT,40,0.0,-1.5,60,1.2,0.04,0.08,28,39.285714285714285,0.09761653996682429
AAVEUSDT,40,0.0,-1.5,65,1.2,0.04,0.08,28,39.285714285714285,0.09761653996682429
AAVEUSDT,40,0.0,-1.0,50,1.2,0.04,0.08,28,39.285714285714285,0.09761653996682429
AAVEUSDT,40,0.0,-1.0,55,1.2,0.04,0.08,28,39.285714285714285,0.09761653996682429
AAVEUSDT,40,0.0,-1.0,60,1.2,0.04,0.08,28,39.285714285714285,0.09761653996682429
AAVEUSDT,40,0.0,-1.0,65,1.2,0.04,0.08,28,39.285714285714285,0.09761653996682429
AAVEUSDT,40,0.0,-0.5,50,1.2,0.04,0.08,28,39.285714285714285,0.09761653996682429
AAVEUSDT,40,0.0,-0.5,55,1.2,0.04,0.08,28,39.285714285714285,0.09761653996682429
AAVEUSDT,40,0.0,-0.5,60,1.2,0.04,0.08,28,39.285714285714285,0.09761653996682429
AAVEUSDT,40,0.0,-0.5,65,1.2,0.04,0.08,28,39.285714285714285,0.09761653996682429
AAVEUSDT,40,0.5,-1.5,50,1.2,0.04,0.08,28,39.285714285714285,0.09761653996682429
AAVEUSDT,40,0.5,-1.5,55,1.2,0.04,0.08,28,39.285714285714285,0.09761653996682429
AAVEUSDT,40,0.5,-1.5,60,1.2,0.04,0.08,28,39.285714285714285,0.09761653996682429
AAVEUSDT,40,0.5,-1.5,65,1.2,0.04,0.08,28,39.285714285714285,0.09761653996682429
AAVEUSDT,40,0.5,-1.0,50,1.2,0.04,0.08,28,39.285714285714285,0.09761653996682429
AAVEUSDT,40,0.5,-1.0,55,1.2,0.04,0.08,28,39.285714285714285,0.09761653996682429
AAVEUSDT,40,0.5,-1.0,60,1.2,0.04,0.08,28,39.285714285714285,0.09761653996682429
AAVEUSDT,40,0.5,-1.0,65,1.2,0.04,0.08,28,39.285714285714285,0.09761653996682429
