type,time,price,position,balance,rsi,pnl,win,win_streak,lose_streak,month
exit,2025-03-04 07:52:00,83368.17,short,10023.367439597234,,0.01017971019393804,True,1,0,2025-03
entry,2025-03-04 08:57:00,83853.52,short,9923.367439597234,100.0,-0.009976687036828635,False,0,1,2025-03
exit,2025-03-04 13:20:00,82954.9,short,10024.4390940728,,0.010185217376135869,True,1,0,2025-03
entry,2025-03-04 16:45:00,82980.48,short,9924.4390940728,100.0,-0.00997562048724776,False,0,1,2025-03
exit,2025-03-04 17:10:00,83811.32,short,10023.437846550492,,0.009975249133910014,True,1,0,2025-03
entry,2025-03-04 21:27:00,88529.93,short,9923.437846550492,100.0,-0.009976616958263906,False,0,1,2025-03
exit,2025-03-04 21:53:00,87561.54,short,10024.531702605727,,0.010187382398971323,True,1,0,2025-03
entry,2025-03-04 22:25:00,87782.02,short,9924.531702605727,98.24086603518526,-0.00997552833056592,False,0,1,2025-03
exit,2025-03-05 00:18:00,86854.29,short,10025.588559123726,,0.010182531483220014,True,1,0,2025-03
entry,2025-03-05 01:54:00,87736.81,short,9925.588559123726,100.0,-0.00997447675119234,False,0,1,2025-03
exit,2025-03-05 03:59:00,86843.4,short,10026.606843239595,,0.010177561110269018,True,1,0,2025-03
entry,2025-03-05 12:32:00,90812.01,short,9926.606843239595,98.81194284216045,-0.009973463761314694,False,0,1,2025-03
exit,2025-03-05 13:14:00,89720.89,short,10027.80835832554,,0.010194975653222915,True,1,0,2025-03
entry,2025-03-05 15:35:00,88665.73,short,9927.80835832554,100.0,-0.009972268757706737,False,0,1,2025-03
exit,2025-03-05 16:11:00,87747.81,short,10028.843617382223,,0.010176995305510195,True,1,0,2025-03
entry,2025-03-05 16:57:00,88951.11,short,9928.843617382223,100.0,-0.009971239338768645,False,0,1,2025-03
exit,2025-03-05 17:25:00,89867.94,short,10027.812905117924,,0.009967856434201172,True,1,0,2025-03
entry,2025-03-05 18:56:00,89634.06,short,9927.812905117924,100.0,-0.009972264236099093,False,0,1,2025-03
exit,2025-03-05 21:10:00,90632.26,short,10026.699265949956,,0.009960538315650025,True,1,0,2025-03
entry,2025-03-06 01:46:00,91321.18,short,9926.699265949956,98.01151546318971,-0.009973371829311128,False,0,1,2025-03
exit,2025-03-06 04:51:00,92278.01,short,10025.651502440987,,0.00996829196089899,True,1,0,2025-03
entry,2025-03-06 10:16:00,91220.82,short,9925.651502440987,100.0,-0.00997441412916189,False,0,1,2025-03
exit,2025-03-06 12:39:00,90268.01,short,10026.696011797514,,0.010180138737661437,True,1,0,2025-03
entry,2025-03-06 15:40:00,91419.4,short,9926.696011797514,100.0,-0.009973375066157253,False,0,1,2025-03
exit,2025-03-06 16:22:00,90290.25,short,10027.931143509164,,0.010198270561658784,True,1,0,2025-03
entry,2025-03-06 19:51:00,89339.89,short,9927.931143509164,100.0,-0.00997214665407109,False,0,1,2025-03
exit,2025-03-06 22:00:00,90272.02,short,10026.88779098209,,0.009967499375499012,True,1,0,2025-03
entry,2025-03-07 01:41:00,88328.11,short,9926.88779098209,100.0,-0.00997318431048344,False,0,1,2025-03
exit,2025-03-07 02:27:00,87433.83,short,10027.900243303327,,0.0101756415956471,True,1,0,2025-03
entry,2025-03-07 18:05:00,88506.87,short,9927.900243303327,100.0,-0.009972177382476466,False,0,1,2025-03
exit,2025-03-07 19:47:00,87616.95,short,10028.905724572747,,0.010173901710742062,True,1,0,2025-03
entry,2025-03-07 22:45:00,86840.65,short,9928.905724572747,100.0,-0.009971177588695479,False,0,1,2025-03
exit,2025-03-08 01:30:00,85900.0,short,10029.988915451673,,0.01018069802282029,True,1,0,2025-03
entry,2025-03-08 02:03:00,86315.03,short,9929.988915451673,100.0,-0.009970100749158828,False,0,1,2025-03
exit,2025-03-09 09:57:00,85403.36,short,10031.045127793834,,0.010176870609081012,True,1,0,2025-03
entry,2025-03-09 12:40:00,84779.39,short,9931.045127793834,99.30031355243193,-0.009969050953915204,False,0,1,2025-03
exit,2025-03-09 13:52:00,83794.84,short,10032.20643598442,,0.010186370808795253,True,1,0,2025-03
entry,2025-03-09 16:12:00,83507.34,short,9932.20643598442,100.0,-0.009967896956477151,False,0,1,2025-03
exit,2025-03-09 16:38:00,82643.08,short,10033.241386924063,,0.010172457810944335,True,1,0,2025-03
entry,2025-03-10 02:35:00,82602.01,short,9933.241386924063,99.27932243245058,-0.009966868745959423,False,0,1,2025-03
exit,2025-03-10 08:23:00,81750.33,short,10034.272451422372,,0.010171006679783767,True,1,0,2025-03
entry,2025-03-10 09:17:00,82935.48,short,9934.272451422372,98.27502353310283,-0.009965844607480734,False,0,1,2025-03
exit,2025-03-10 10:21:00,82102.79,short,10035.276472861688,,0.01016722884672383,True,1,0,2025-03
entry,2025-03-10 11:57:00,83609.09,short,9935.276472861688,98.20212147472115,-0.009964847532644372,False,0,1,2025-03
exit,2025-03-10 12:31:00,82725.46,short,10036.33333163147,,0.010171519539070584,True,1,0,2025-03
