type,time,price,position,balance,pnl,win,win_streak,lose_streak,month
exit,2025-02-16 23:00:00,96337.49,long,8660.32773049025,-0.012987128746346221,False,0,4,2025-02
entry,2025-02-17 00:15:00,96430.91,long,8660.32773049025,0.0,False,0,5,2025-02
exit,2025-02-17 16:45:00,95334.75,long,8561.88310474676,-0.01136730950687903,False,0,6,2025-02
entry,2025-02-17 21:30:00,96141.04,long,8561.88310474676,0.0,False,0,7,2025-02
exit,2025-02-18 16:30:00,94671.66,long,8431.026814899544,-0.015283587529321463,False,0,8,2025-02
entry,2025-02-18 22:15:00,95399.95,long,8431.026814899544,0.0,False,0,9,2025-02
exit,2025-02-19 10:00:00,96371.3,long,8516.870443713318,0.010181871164502754,True,1,0,2025-02
entry,2025-02-19 10:15:00,96309.95,long,8516.870443713318,0.0,False,0,1,2025-02
exit,2025-02-20 10:30:00,97289.25,long,8603.47178890692,0.01016821211100205,True,1,0,2025-02
entry,2025-02-20 11:45:00,97207.92,long,8603.47178890692,0.0,False,0,1,2025-02
exit,2025-02-20 18:00:00,98211.15,long,8692.263535533995,0.010320455370303128,True,1,0,2025-02
entry,2025-02-20 18:15:00,98280.79,long,8692.263535533995,0.0,False,0,1,2025-02
exit,2025-02-21 13:00:00,99316.83,long,8783.894185972953,0.010541632805352918,True,1,0,2025-02
entry,2025-02-21 13:15:00,99211.5,long,8783.894185972953,0.0,False,0,1,2025-02
exit,2025-02-21 15:15:00,98216.01,long,8695.756431547365,-0.010034018233773367,False,0,2,2025-02
entry,2025-02-21 16:00:00,98587.99,long,8695.756431547365,0.0,False,0,3,2025-02
exit,2025-02-21 17:30:00,97132.08,long,8567.340802561986,-0.014767620275045745,False,0,4,2025-02
entry,2025-02-22 06:30:00,96353.13,long,8567.340802561986,0.0,False,0,5,2025-02
exit,2025-02-23 17:00:00,95343.98,long,8477.611159415932,-0.010473453223574514,False,0,6,2025-02
entry,2025-02-23 17:45:00,95656.78,long,8477.611159415932,0.0,False,0,7,2025-02
exit,2025-02-24 14:45:00,94674.44,long,8390.550978774889,-0.010269423662389476,False,0,8,2025-02
entry,2025-02-24 16:00:00,94726.87,long,8390.550978774889,0.0,False,0,9,2025-02
exit,2025-02-24 19:30:00,93770.05,long,8305.799450644472,-0.010100829891244056,False,0,10,2025-02
entry,2025-02-25 08:00:00,89841.17,long,8305.799450644472,0.0,False,0,11,2025-02
exit,2025-02-25 09:15:00,88650.0,long,8195.676005773661,-0.013258620741470772,False,0,12,2025-02
entry,2025-02-26 05:15:00,88792.46,long,8195.676005773661,0.0,False,0,13,2025-02
exit,2025-02-26 13:00:00,87728.05,long,8097.429381034291,-0.011987616966575798,False,0,14,2025-02
entry,2025-02-26 13:15:00,87828.0,long,8097.429381034291,0.0,False,0,15,2025-02
exit,2025-02-26 14:00:00,86490.8,long,7974.14429463452,-0.015225212916154307,False,0,16,2025-02
entry,2025-02-26 14:30:00,86716.99,long,7974.14429463452,0.0,False,0,17,2025-02
exit,2025-02-26 14:45:00,87621.22,long,8057.293634752729,0.010427368385364844,True,1,0,2025-02
entry,2025-02-26 15:00:00,88341.59,long,8057.293634752729,0.0,False,0,1,2025-02
exit,2025-02-26 16:00:00,86872.0,long,7923.258033257485,-0.016635312993574125,False,0,2,2025-02
entry,2025-02-26 16:15:00,86860.0,long,7923.258033257485,0.0,False,0,3,2025-02
exit,2025-02-26 18:15:00,85152.72,long,7767.5221366995775,-0.019655537646787957,False,0,4,2025-02
entry,2025-02-27 01:15:00,85238.73,long,7767.5221366995775,0.0,False,0,5,2025-02
exit,2025-02-27 02:45:00,84295.2,long,7681.541384034208,-0.011069263936710594,False,0,6,2025-02
entry,2025-02-27 03:00:00,84726.13,long,7681.541384034208,0.0,False,0,7,2025-02
exit,2025-02-27 05:30:00,85728.32,long,7772.403128335113,0.011828582280342559,True,1,0,2025-02
entry,2025-02-27 05:45:00,85883.13,long,7772.403128335113,0.0,False,0,1,2025-02
exit,2025-02-27 10:45:00,87013.46,long,7874.697728311278,0.013161257629990875,True,1,0,2025-02
entry,2025-02-27 11:00:00,86765.56,long,7874.697728311278,0.0,False,0,1,2025-02
exit,2025-02-27 14:30:00,85572.9,long,7766.453892938721,-0.013745776550050492,False,0,2,2025-02
entry,2025-02-27 15:15:00,85672.07,long,7766.453892938721,0.0,False,0,3,2025-02
exit,2025-02-27 16:45:00,84471.69,long,7657.635512292545,-0.01401133414892397,False,0,4,2025-02
entry,2025-02-28 14:30:00,82332.8,long,7657.635512292545,0.0,False,0,5,2025-02
exit,2025-02-28 15:00:00,83312.51,long,7748.7566947101,0.01189938882195185,True,1,0,2025-02
entry,2025-02-28 15:15:00,84311.88,long,7748.7566947101,0.0,False,0,1,2025-02
exit,2025-03-01 02:30:00,85497.22,long,7857.69639882425,0.014058991449366287,True,1,0,2025-03
entry,2025-03-01 02:45:00,85240.46,long,7857.69639882425,0.0,False,0,1,2025-03
exit,2025-03-01 04:30:00,86541.99,long,7977.674958230918,0.015268922762734949,True,1,0,2025-03
entry,2025-03-01 08:15:00,85199.79,long,7977.674958230918,0.0,False,0,1,2025-03
exit,2025-03-01 21:45:00,86076.86,long,8059.7993317254495,0.01029427419950224,True,1,0,2025-03
entry,2025-03-01 22:00:00,86003.71,long,8059.7993317254495,0.0,False,0,1,2025-03
exit,2025-03-02 14:45:00,85107.45,long,7975.806725487273,-0.010421178342190252,False,0,2,2025-03
entry,2025-03-02 15:15:00,86431.07,long,7975.806725487273,0.0,False,0,3,2025-03
exit,2025-03-02 15:30:00,88081.19,long,8128.078798410367,0.019091745595652077,True,1,0,2025-03
entry,2025-03-02 15:45:00,87427.99,long,8128.078798410367,0.0,False,0,1,2025-03
exit,2025-03-02 16:15:00,88960.0,long,8270.507990708538,0.017523106730464644,True,1,0,2025-03
entry,2025-03-02 16:30:00,91584.99,long,8270.507990708538,0.0,False,0,1,2025-03
exit,2025-03-02 17:15:00,92702.91,long,8371.46084655285,0.012206367004025331,True,1,0,2025-03
