type,time,price,position,balance
entry,2024-12-16 18:17:00,107368.01,8.925857251169984e+20,9.583515306021912e+25
alignment_break,2024-12-16 18:39:00,107482.48,8.925857251169984e+20,1.917724804083924e+26
entry,2024-12-17 01:48:00,106364.99,1.802966186603246e+21,1.917724804083924e+26
alignment_break,2024-12-17 01:54:00,106383.14,1.802966186603246e+21,3.835776846530716e+26
entry,2024-12-17 01:55:00,106410.73,3.604689909119801e+21,3.835776846530716e+26
alignment_break,2024-12-17 02:23:00,106367.99,3.604689909119801e+21,7.670013048594276e+26
entry,2024-12-17 02:31:00,106572.01,7.197023917062534e+21,7.670013048594276e+26
alignment_break,2024-12-17 02:35:00,106494.36,7.197023917062534e+21,1.5334437608116952e+27
entry,2024-12-17 03:40:00,106720.54,1.4368778126607073e+22,1.5334437608116952e+27
alignment_break,2024-12-17 03:58:00,106875.99,1.4368778126607073e+22,3.069121148183172e+27
entry,2024-12-17 06:07:00,106835.25,2.8727607678019868e+22,3.069121148183172e+27
alignment_break,2024-12-17 06:12:00,106737.34,2.8727607678019868e+22,6.135429576298588e+27
entry,2024-12-17 07:31:00,107022.29,5.732852078103158e+22,6.135429576298588e+27
alignment_break,2024-12-17 07:36:00,106978.48,5.732852078103158e+22,1.226834759010176e+28
entry,2024-12-17 08:23:00,107053.89,1.1459973654485381e+23,1.226834759010176e+28
alignment_break,2024-12-17 08:50:00,107346.32,1.1459973654485381e+23,2.4570207581161334e+28
entry,2024-12-17 08:55:00,107487.09,2.2858752228906127e+23,2.4570207581161334e+28
alignment_break,2024-12-17 09:02:00,107305.28,2.2858752228906127e+23,4.90988556648953e+28
entry,2024-12-17 13:41:00,107517.79,4.566579694848202e+23,4.90988556648953e+28
alignment_break,2024-12-17 13:46:00,107423.98,4.566579694848202e+23,9.815487224567323e+28
entry,2024-12-17 14:13:00,107539.99,9.127290438252154e+23,9.815487224567323e+28
alignment_break,2024-12-17 14:17:00,107470.37,9.127290438252154e+23,1.9624620029531535e+29
entry,2024-12-17 14:22:00,107663.37,1.8227759385138637e+24,1.9624620029531535e+29
alignment_break,2024-12-17 14:35:00,107483.79,1.8227759385138637e+24,3.921650664875924e+29
entry,2024-12-17 14:53:00,107989.22,3.6315205025797245e+24,3.921650664875924e+29
alignment_break,2024-12-17 15:05:00,107872.0,3.6315205025797245e+24,7.839044461418725e+29
entry,2024-12-17 18:02:00,107457.09,7.295046293751976e+24,7.839044461418725e+29
alignment_break,2024-12-17 18:17:00,107329.74,7.295046293751976e+24,1.566879868138236e+30
entry,2024-12-18 01:36:00,106450.0,1.4719397540049187e+25,1.566879868138236e+30
alignment_break,2024-12-18 01:38:00,106276.16,1.4719397540049187e+25,3.1312009162081096e+30
entry,2024-12-18 07:54:00,104212.0,3.004645257943528e+25,3.1312009162081096e+30
alignment_break,2024-12-18 08:03:00,104171.99,3.004645257943528e+25,6.261199673848515e+30
entry,2024-12-18 08:07:00,104345.6,6.000444363584583e+25,6.261199673848515e+30
alignment_break,2024-12-18 08:16:00,104172.41,6.000444363584583e+25,1.2512007178103739e+31
entry,2024-12-18 10:52:00,104580.15,1.196403636646509e+26,1.2512007178103739e+31
alignment_break,2024-12-18 11:01:00,104543.99,1.196403636646509e+26,2.5019688160657366e+31
entry,2024-12-18 11:05:00,104683.99,2.3900204950783174e+26,2.5019688160657366e+31
alignment_break,2024-12-18 11:20:00,104634.23,2.3900204950783174e+26,5.002748357933122e+31
entry,2024-12-18 11:25:00,104788.11,4.774156493454383e+26,5.002748357933122e+31
alignment_break,2024-12-18 11:48:00,104824.79,4.774156493454383e+26,1.0007247876468042e+32
entry,2024-12-18 11:56:00,104989.23,9.531689942356984e+26,1.0007247876468042e+32
alignment_break,2024-12-18 12:24:00,105130.55,9.531689942356984e+26,2.0027965937162624e+32
entry,2024-12-18 17:49:00,104710.25,1.9127034781373003e+27,2.0027965937162624e+32
alignment_break,2024-12-18 18:01:00,104601.87,1.9127034781373003e+27,4.0035201994029196e+32
entry,2024-12-18 18:04:00,104767.23,3.8213477624662977e+27,4.0035201994029196e+32
alignment_break,2024-12-18 18:23:00,104685.06,3.8213477624662977e+27,8.003900397349421e+32
entry,2024-12-19 03:51:00,101192.09,7.909610718930127e+27,8.003900397349421e+32
alignment_break,2024-12-19 04:04:00,101027.52,7.909610718930127e+27,1.59947839483387e+33
entry,2024-12-19 05:47:00,101303.03,1.5789047917262398e+28,1.59947839483387e+33
alignment_break,2024-12-19 05:56:00,101359.49,1.5789047917262398e+28,3.199848239313149e+33
entry,2024-12-19 07:22:00,101380.0,3.1562914177482237e+28,3.199848239313149e+33
alignment_break,2024-12-19 07:52:00,101575.76,3.1562914177482237e+28,6.405875234705682e+33
entry,2024-12-19 07:56:00,101708.63,6.298261253450845e+28,6.405875234705682e+33
